question_id;question_text;years;num_years;response_alternatives;num_responses
4953;val av parti åsikter framförda i radio, tv och tidningar;2000;1; Ett av de absolut viktigaste skälen |  Ganska viktigt skäl |  Inte skärskilt viktigt skäl |  Inte alls viktigt skäl;4
4665;annan utländsk tidning eller tidskrift;2000;1; Flera gånger i veckan |  Någon gång i veckan |  Någon gång i månaden |  Någon gång per kvartal |  Någon gång per halvår |  Någon gång per år |  Aldrig;7
4946;utländsk dagstidning;2000;1; Flera gånger i veckan |  Någon gång i veckan |  Någon gång i månaden |  Någon gång per kvartal |  Någon gång per halvår |  Någon gång per år |  Aldrig;7
3859;förändring kommande 12 mån av svensk ekonomin;1999, 2000;2; Förbättrats |  Förblivit ungefär densamma |  Försämrats;3
3860;förändring senaste 12 mån av svensk ekonomin;1999, 2000;2; Förbättrats |  Förblivit ungefär densamma |  Försämrats;3
3873;hur viktigt är biblioteket för att ett modernt samhälle skall fungera;1999, 2000;2; Helt avgörande |  Mycket viktiga |  Ganska viktiga |  Inte särskilt viktiga |  Inte alls viktiga;5
3772;bestämd uppfattning om medlemskap i eu eller tveksam;1999, 2000;2; I huvudsak för det svenska medlemskapet i EU |  I huvudsak emot det svenska medlemskapet i EU |  Har ingen bestämd åsikt i frågan;3
3972;tillhör annat kristet samfund;1999, 2000;2; Icke medlem |  Medlem, men har inte varit på gudstjänst/möte under senaste 12 månaderna |  Medlem och har varit på gudstjänst/möte under senaste 12 månaderna|  Medlem och har någon typ av uppdrag;4
3973;tillhör annat religiöst samfund;1999, 2000;2; Icke medlem |  Medlem, men har inte varit på gudstjänst/möte under senaste 12 månaderna |  Medlem och har varit på gudstjänst/möte under senaste 12 månaderna|  Medlem och har någon typ av uppdrag;4
3974;tillhör frikyrka;1999, 2000;2; Icke medlem |  Medlem, men har inte varit på gudstjänst/möte under senaste 12 månaderna |  Medlem och har varit på gudstjänst/möte under senaste 12 månaderna|  Medlem och har någon typ av uppdrag;4
3975;tillhör svenska kyrkan;1999, 2000;2; Icke medlem |  Medlem, men har inte varit på gudstjänst/möte under senaste 12 månaderna |  Medlem och har varit på gudstjänst/möte under senaste 12 månaderna|  Medlem och har någon typ av uppdrag;4
3763;använt persondator;1999, 2000;2; Ingen gång |  Någon gång under året |  Någon gång i halvåret |  Någon gång i kvartalet |  Någon gång i månaden |  Någon gång i veckan |  Flera gånger i veckan;7
3874;hyrt videofilm;1999, 2000;2; Ingen gång |  Någon gång under året |  Någon gång i halvåret |  Någon gång i kvartalet |  Någon gång i månaden |  Någon gång i veckan |  Flera gånger i veckan;7
4861;läst musik-/film-/modemagasin;2000;1; Ingen gång |  Någon gång under året |  Någon gång i halvåret |  Någon gång i kvartalet |  Någon gång i månaden |  Någon gång i veckan |  Flera gånger i veckan;7
3910;läst veckotidning;1999, 2000;2; Ingen gång |  Någon gång under året |  Någon gång i halvåret |  Någon gång i kvartalet |  Någon gång i månaden |  Någon gång i veckan |  Flera gånger i veckan;7
1618;rökt/snusat;1992, 1993, 1994, 1995, 1996, 1997, 1999, 2000;8; Ingen gång |  Någon gång under året |  Någon gång i halvåret |  Någon gång i kvartalet |  Någon gång i månaden |  Någon gång i veckan |  Flera gånger i veckan;7
3945;skänkt pengar eller på annat sätt stött hjälporganisation;1999, 2000;2; Ingen gång |  Någon gång under året |  Någon gång i halvåret |  Någon gång i kvartalet |  Någon gång i månaden |  Någon gång i veckan |  Flera gånger i veckan;7
3993;åkt kollektivt;1999, 2000;2; Ingen gång |  Någon gång under året |  Någon gång i halvåret |  Någon gång i kvartalet |  Någon gång i månaden |  Någon gång i veckan |  Flera gånger i veckan;7
4985;ätit vegetarisk mat;2000;1; Ingen gång |  Någon gång under året |  Någon gång i halvåret |  Någon gång i kvartalet |  Någon gång i månaden |  Någon gång i veckan |  Flera gånger i veckan;7
4683;besökt annan frikyrka;2000;1; Ja |  Nej;2
4684;besökt annan religion;2000;1; Ja |  Nej;2
4685;besökt muslimsk församling;2000;1; Ja |  Nej;2
4686;besökt ortodox kyrka;2000;1; Ja |  Nej;2
4687;besökt pingstkyrkan, nybygget, alliansmissionen, trosrörelsen eller sjundedagsadventisterna;2000;1; Ja |  Nej;2
4694;besökt romersk-katolska kyrkan;2000;1; Ja |  Nej;2
3108;har ej någon prenumeration - lånar av bekant;1998, 2000;2; Ja |  Nej;2
3106;har ej någon prenumeration - läser hos bekant;1998, 2000;2; Ja |  Nej;2
3107;har ej någon prenumeration - läser på bibliotek;1998, 2000;2; Ja |  Nej;2
4920;stöd a-kassa;2000;1; Ja |  Nej;2
4921;stöd sjukbidrag/förtidspension;2000;1; Ja |  Nej;2
4922;stöd sjukpenning från försäkringskassan;2000;1; Ja |  Nej;2
4923;stöd socialbidrag;2000;1; Ja |  Nej;2
4932;tillgång till internet på din arbetsplats/skola;2000;1; Ja |  Nej |  Har ingen fast arbetsplats/går ej i skolan;3
4817;läsa texter på danska;2000;1; Ja, utan större problem |  Ja, men med vissa svårigheter |  Ja, men med stora svårigheter |  Nej;4
4818;läsa texter på engelska;2000;1; Ja, utan större problem |  Ja, men med vissa svårigheter |  Ja, men med stora svårigheter |  Nej;4
4819;läsa texter på finska;2000;1; Ja, utan större problem |  Ja, men med vissa svårigheter |  Ja, men med stora svårigheter |  Nej;4
4820;läsa texter på franska;2000;1; Ja, utan större problem |  Ja, men med vissa svårigheter |  Ja, men med stora svårigheter |  Nej;4
4821;läsa texter på norska;2000;1; Ja, utan större problem |  Ja, men med vissa svårigheter |  Ja, men med stora svårigheter |  Nej;4
4822;läsa texter på spanska;2000;1; Ja, utan större problem |  Ja, men med vissa svårigheter |  Ja, men med stora svårigheter |  Nej;4
4823;läsa texter på svenska;2000;1; Ja, utan större problem |  Ja, men med vissa svårigheter |  Ja, men med stora svårigheter |  Nej;4
4824;läsa texter på tyska;2000;1; Ja, utan större problem |  Ja, men med vissa svårigheter |  Ja, men med stora svårigheter |  Nej;4
4780;gjorde igår använde internet;2000;1; Ja, utan större problem |  Nej |  Vet ej;3
4781;gjorde igår lyssnade på någon privat radiostation;2000;1; Ja, utan större problem |  Nej |  Vet ej;3
4782;gjorde igår lyssnade på p1;2000;1; Ja, utan större problem |  Nej |  Vet ej;3
4783;gjorde igår lyssnade på p3;2000;1; Ja, utan större problem |  Nej |  Vet ej;3
4784;gjorde igår lyssnade på p4/lokalradion;2000;1; Ja, utan större problem |  Nej |  Vet ej;3
4785;gjorde igår läste eller tittade i en kvällstidning;2000;1; Ja, utan större problem |  Nej |  Vet ej;3
4786;gjorde igår läste eller tittade i en morgontidning;2000;1; Ja, utan större problem |  Nej |  Vet ej;3
4787;gjorde igår läste eller tittade i en vecko-/månadstidning;2000;1; Ja, utan större problem |  Nej |  Vet ej;3
4788;gjorde igår tittade på eller svt2;2000;1; Ja, utan större problem |  Nej |  Vet ej;3
4789;gjorde igår tittade på kanal5;2000;1; Ja, utan större problem |  Nej |  Vet ej;3
4790;gjorde igår tittade på tv3;2000;1; Ja, utan större problem |  Nej |  Vet ej;3
4791;gjorde igår tittade på tv4;2000;1; Ja, utan större problem |  Nej |  Vet ej;3
3786;bibliotek - personalens bemötande;1999, 2000;2; Mycket bra |  Ganska bra |  Varken bra eller dåligt |  Ganska dåligt |  Mycket dåligt |  Ingen uppfattning;6
3787;bibliotek - personalens hjälp med att söka och finna information;1999, 2000;2; Mycket bra |  Ganska bra |  Varken bra eller dåligt |  Ganska dåligt |  Mycket dåligt |  Ingen uppfattning;6
3788;bibliotek - personalens kompetens;1999, 2000;2; Mycket bra |  Ganska bra |  Varken bra eller dåligt |  Ganska dåligt |  Mycket dåligt |  Ingen uppfattning;6
3790;bibliotek - tillgång till datorplatser;1999, 2000;2; Mycket bra |  Ganska bra |  Varken bra eller dåligt |  Ganska dåligt |  Mycket dåligt |  Ingen uppfattning;6
3791;bibliotek - tillgång till läs-/studieplatser;1999, 2000;2; Mycket bra |  Ganska bra |  Varken bra eller dåligt |  Ganska dåligt |  Mycket dåligt |  Ingen uppfattning;6
3792;bibliotek - urvalet av cd-skivor och videofilmer;1999, 2000;2; Mycket bra |  Ganska bra |  Varken bra eller dåligt |  Ganska dåligt |  Mycket dåligt |  Ingen uppfattning;6
3793;bibliotek - urvalet av litteratur;1999, 2000;2; Mycket bra |  Ganska bra |  Varken bra eller dåligt |  Ganska dåligt |  Mycket dåligt |  Ingen uppfattning;6
3794;bibliotek - öppettiderna;1999, 2000;2; Mycket bra |  Ganska bra |  Varken bra eller dåligt |  Ganska dåligt |  Mycket dåligt |  Ingen uppfattning;6
3863;hur fungerar den kommunala servicen i hemkommunen;1999, 2000;2; Mycket bra |  Ganska bra |  Varken bra eller dåligt |  Ganska dåligt |  Mycket dåligt |  Ingen uppfattning;6
3856;förslag anställa fler i offentlig sektor;1999, 2000;2; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4736;förslag avveckla det statliga stödet;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
2644;förslag begränsa riksdagsledamöternas mandatperiod till maximalt åtta år;1997, 1998, 2000;3; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4737;förslag bättre med lönehöjning än förkortad arbetstid;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4738;förslag flytta tidpunkten för de allmänna valen från hösten till våren;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4739;förslag förbjuda dagstidningar att också äga tv-kanaler;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4740;förslag ge alla barn rösträtt i allmänna val;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
3857;förslag genomföra val till riksdag och kommun vid olika tidpunkter;1999, 2000;2; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4741;förslag införa en möjlighet till friår;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4742;förslag kortare arbetstid;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4743;förslag kortare arbetsvecka;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4744;förslag minska finansmarknadens inflytande över politiken;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4745;förslag minska inte arbetstiden;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4746;förslag minska mandatperiodernas längd från 4 till 3 år;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
2324;förslag sänka arbetsgivaravgiften;1996, 2000;2; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4747;förslag sänka rösträtten till 16 år;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4748;förslag sänka skatterna på bensin och diesel;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
3104;förslag tidsbegränsa rätten till arbetslöshetsersättning;1998, 1999, 2000;3; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4757;förslag överföra en av svts tv-kanaler i privat regi;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
4758;förslag överföra statlig affärsverksamhet i privat regi;2000;1; Mycket bra förslag |  Ganska bra förslag |  Varken bra eller dåligt förslag |  Ganska dåligt förslag |  Mycket dåligt förslag;5
3998;åsikt om politiskt område energiäkärnkraft;1999, 2000;2; Mycket bra politik |  Ganska bra politik |  Varken bra eller dålig politik |  Ganska dålig politik |  Mycket dålig politik;5
3999;åsikt om politiskt område flyktingaräinvandring;1999, 2000;2; Mycket bra politik |  Ganska bra politik |  Varken bra eller dålig politik |  Ganska dålig politik |  Mycket dålig politik;5
4986;åsikt om politiskt område it;2000;1; Mycket bra politik |  Ganska bra politik |  Varken bra eller dålig politik |  Ganska dålig politik |  Mycket dålig politik;5
4000;åsikt om politiskt område jämställdheten;1999, 2000;2; Mycket bra politik |  Ganska bra politik |  Varken bra eller dålig politik |  Ganska dålig politik |  Mycket dålig politik;5
4987;åsikt om politiskt område massmedier;2000;1; Mycket bra politik |  Ganska bra politik |  Varken bra eller dålig politik |  Ganska dålig politik |  Mycket dålig politik;5
4749;förslag våld etiska regler inom mediebranschen;2000;1; Mycket bra åtgärd |  Ganska bra åtgärd |  Varken bra eller dålig åtgärd |  Ganska dålig åtgärd |  Mycket dålig åtgärd;5
4750;förslag våld informationskampanjer riktade till föräldrar;2000;1; Mycket bra åtgärd |  Ganska bra åtgärd |  Varken bra eller dålig åtgärd |  Ganska dålig åtgärd |  Mycket dålig åtgärd;5
4751;förslag våld lagstiftning om obligatorisk förhandsgranskning;2000;1; Mycket bra åtgärd |  Ganska bra åtgärd |  Varken bra eller dålig åtgärd |  Ganska dålig åtgärd |  Mycket dålig åtgärd;5
4752;förslag våld obligatorisk medieutbildning i skolan;2000;1; Mycket bra åtgärd |  Ganska bra åtgärd |  Varken bra eller dålig åtgärd |  Ganska dålig åtgärd |  Mycket dålig åtgärd;5
4753;förslag våld tekniska filter som blockerar sändning av program/inslag med våldsskildringar;2000;1; Mycket bra åtgärd |  Ganska bra åtgärd |  Varken bra eller dålig åtgärd |  Ganska dålig åtgärd |  Mycket dålig åtgärd;5
4754;förslag våld tydlig innehållsdeklaration av alla program/inslag;2000;1; Mycket bra åtgärd |  Ganska bra åtgärd |  Varken bra eller dålig åtgärd |  Ganska dålig åtgärd |  Mycket dålig åtgärd;5
4755;förslag våld tydlig rekommendation om lämplig ålder för att se programmet/inslaget;2000;1; Mycket bra åtgärd |  Ganska bra åtgärd |  Varken bra eller dålig åtgärd |  Ganska dålig åtgärd |  Mycket dålig åtgärd;5
4756;förslag våld varningar i ord och bild före sändning av program/inslag;2000;1; Mycket bra åtgärd |  Ganska bra åtgärd |  Varken bra eller dålig åtgärd |  Ganska dålig åtgärd |  Mycket dålig åtgärd;5
3864;hur intresserad är du av beställ-tv;1999, 2000;2; Mycket inresserad |  Ganska intresserad |  Ganska ointresserad |  Helt ointresserad |  Vet ej;5
4797;hur intresserad är du för egen del att satsa på mer utbildning;2000;1; Mycket inresserad |  Ganska intresserad |  Inte särskilt intresserad |  Inte alls intresserad;4
3112;service i kommunen barnavårdscentral;1998, 1999, 2000;3; Mycket nöjd |  Ganska nöjd | Varken nöjd eller missnöjd |  Ganska missnöjd |  Mycket missnöjd | Vet ej;6
3113;service i kommunen folktandvård;1998, 1999, 2000;3; Mycket nöjd |  Ganska nöjd | Varken nöjd eller missnöjd |  Ganska missnöjd |  Mycket missnöjd | Vet ej;6
3114;service i kommunen friskolor;1998, 1999, 2000;3; Mycket nöjd |  Ganska nöjd | Varken nöjd eller missnöjd |  Ganska missnöjd |  Mycket missnöjd | Vet ej;6
3115;service i kommunen färdtjänst;1998, 1999, 2000;3; Mycket nöjd |  Ganska nöjd | Varken nöjd eller missnöjd |  Ganska missnöjd |  Mycket missnöjd | Vet ej;6
3116;service i kommunen föräldrakooperativ barnomsorg;1998, 1999, 2000;3; Mycket nöjd |  Ganska nöjd | Varken nöjd eller missnöjd |  Ganska missnöjd |  Mycket missnöjd | Vet ej;6
3117;service i kommunen handikappomsorg;1998, 1999, 2000;3; Mycket nöjd |  Ganska nöjd | Varken nöjd eller missnöjd |  Ganska missnöjd |  Mycket missnöjd | Vet ej;6
3118;service i kommunen idrottsanläggningar;1998, 1999, 2000;3; Mycket nöjd |  Ganska nöjd | Varken nöjd eller missnöjd |  Ganska missnöjd |  Mycket missnöjd | Vet ej;6
3119;service i kommunen privattandläkare;1998, 1999, 2000;3; Mycket nöjd |  Ganska nöjd | Varken nöjd eller missnöjd |  Ganska missnöjd |  Mycket missnöjd | Vet ej;6
3120;service i kommunen renhållning på allmänna platser;1998, 1999, 2000;3; Mycket nöjd |  Ganska nöjd | Varken nöjd eller missnöjd |  Ganska missnöjd |  Mycket missnöjd | Vet ej;6
3121;service i kommunen socialtjänst;1998, 1999, 2000;3; Mycket nöjd |  Ganska nöjd | Varken nöjd eller missnöjd |  Ganska missnöjd |  Mycket missnöjd | Vet ej;6
3122;service i kommunen tillgång till bostäder;1998, 1999, 2000;3; Mycket nöjd |  Ganska nöjd | Varken nöjd eller missnöjd |  Ganska missnöjd |  Mycket missnöjd | Vet ej;6
3123;service i kommunen turism;1998, 1999, 2000;3; Mycket nöjd |  Ganska nöjd | Varken nöjd eller missnöjd |  Ganska missnöjd |  Mycket missnöjd | Vet ej;6
4886;positiv eller negativ till reklam i tv;2000;1; Mycket positivt |  Ganska positivt |  Varken positivt eller negativt |  Ganska negativt |  Mycket negativt;5
2174;våldet - biofilmer;1995, 2000;2; Mycket stor betydelse |  Ganska stor betydelse |  Varken stor eller liten betydelse |  Ganska liten betydelse |  Mycket liten betydelse;5
2175;våldet - film- och musikidoler;1995, 2000;2; Mycket stor betydelse |  Ganska stor betydelse |  Varken stor eller liten betydelse |  Ganska liten betydelse |  Mycket liten betydelse;5
2176;våldet - seriemagasin;1995, 2000;2; Mycket stor betydelse |  Ganska stor betydelse |  Varken stor eller liten betydelse |  Ganska liten betydelse |  Mycket liten betydelse;5
2325;förtroende statliga myndigheter;1996, 1998, 1999, 2000;4; Mycket stort |  Ganska stort |  Ganska litet |  Mycket litet;4
4769;förtroende för svenska politiker;2000;1; Mycket stort förtroende |  Ganska stort förtroende |  Ganska litet förtroende |  Mycket litet förtroende;4
4759;förtroende - ams;2000;1; Mycket stort förtroende |  Ganska stort förtroende |  Varken stort eller litet förtroende |  Ganska litet förtroende |  Mycket litet förtroende;5
4760;förtroende - arkitekter;2000;1; Mycket stort förtroende |  Ganska stort förtroende |  Varken stort eller litet förtroende |  Ganska litet förtroende |  Mycket litet förtroende;5
4761;förtroende - banktjänstemän;2000;1; Mycket stort förtroende |  Ganska stort förtroende |  Varken stort eller litet förtroende |  Ganska litet förtroende |  Mycket litet förtroende;5
4762;förtroende - it-konsulter;2000;1; Mycket stort förtroende |  Ganska stort förtroende |  Varken stort eller litet förtroende |  Ganska litet förtroende |  Mycket litet förtroende;5
4763;förtroende - katolska kyrkan;2000;1; Mycket stort förtroende |  Ganska stort förtroende |  Varken stort eller litet förtroende |  Ganska litet förtroende |  Mycket litet förtroende;5
4764;förtroende - politiker;2000;1; Mycket stort förtroende |  Ganska stort förtroende |  Varken stort eller litet förtroende |  Ganska litet förtroende |  Mycket litet förtroende;5
4765;förtroende - psykologer;2000;1; Mycket stort förtroende |  Ganska stort förtroende |  Varken stort eller litet förtroende |  Ganska litet förtroende |  Mycket litet förtroende;5
4766;förtroende - socialarbetare;2000;1; Mycket stort förtroende |  Ganska stort förtroende |  Varken stort eller litet förtroende |  Ganska litet förtroende |  Mycket litet förtroende;5
4767;förtroende - telia;2000;1; Mycket stort förtroende |  Ganska stort förtroende |  Varken stort eller litet förtroende |  Ganska litet förtroende |  Mycket litet förtroende;5
4768;förtroende - universitetslärare;2000;1; Mycket stort förtroende |  Ganska stort förtroende |  Varken stort eller litet förtroende |  Ganska litet förtroende |  Mycket litet förtroende;5
3842;egenskap hos rikspolitiker - att göra sig bra i tv;1999, 2000;2; Mycket viktig egenskap |  Ganska viktig egenskap |  Varken viktig eller oviktig egenskap |  Ganska oviktig egenskap |  Mycket oviktig egenskap;5
3843;egenskap hos rikspolitiker - att ha förmåga att fatta snabba beslut;1999, 2000;2; Mycket viktig egenskap |  Ganska viktig egenskap |  Varken viktig eller oviktig egenskap |  Ganska oviktig egenskap |  Mycket oviktig egenskap;5
3844;egenskap hos rikspolitiker - att ha humor;1999, 2000;2; Mycket viktig egenskap |  Ganska viktig egenskap |  Varken viktig eller oviktig egenskap |  Ganska oviktig egenskap |  Mycket oviktig egenskap;5
3845;egenskap hos rikspolitiker - att vara en skicklig debattör;1999, 2000;2; Mycket viktig egenskap |  Ganska viktig egenskap |  Varken viktig eller oviktig egenskap |  Ganska oviktig egenskap |  Mycket oviktig egenskap;5
3846;egenskap hos rikspolitiker - att vara en stark ledare;1999, 2000;2; Mycket viktig egenskap |  Ganska viktig egenskap |  Varken viktig eller oviktig egenskap |  Ganska oviktig egenskap |  Mycket oviktig egenskap;5
3847;egenskap hos rikspolitiker - att vara erfaren;1999, 2000;2; Mycket viktig egenskap |  Ganska viktig egenskap |  Varken viktig eller oviktig egenskap |  Ganska oviktig egenskap |  Mycket oviktig egenskap;5
3848;egenskap hos rikspolitiker - att vara inspirerande;1999, 2000;2; Mycket viktig egenskap |  Ganska viktig egenskap |  Varken viktig eller oviktig egenskap |  Ganska oviktig egenskap |  Mycket oviktig egenskap;5
3849;egenskap hos rikspolitiker - att vara kunnig i politiska sakfrågor;1999, 2000;2; Mycket viktig egenskap |  Ganska viktig egenskap |  Varken viktig eller oviktig egenskap |  Ganska oviktig egenskap |  Mycket oviktig egenskap;5
3850;egenskap hos rikspolitiker - att vara kvinna;1999, 2000;2; Mycket viktig egenskap |  Ganska viktig egenskap |  Varken viktig eller oviktig egenskap |  Ganska oviktig egenskap |  Mycket oviktig egenskap;5
3851;egenskap hos rikspolitiker - att vara som vanliga människor;1999, 2000;2; Mycket viktig egenskap |  Ganska viktig egenskap |  Varken viktig eller oviktig egenskap |  Ganska oviktig egenskap |  Mycket oviktig egenskap;5
3852;egenskap hos rikspolitiker - att vara ung;1999, 2000;2; Mycket viktig egenskap |  Ganska viktig egenskap |  Varken viktig eller oviktig egenskap |  Ganska oviktig egenskap |  Mycket oviktig egenskap;5
3853;egenskap hos rikspolitiker - att vara ärlig;1999, 2000;2; Mycket viktig egenskap |  Ganska viktig egenskap |  Varken viktig eller oviktig egenskap |  Ganska oviktig egenskap |  Mycket oviktig egenskap;5
3984;viktiga politiska frågor barnomsorgen;1999, 2000;2; Mycket viktig fråga |  Ganska viktig fråga |  Varken viktig eller oviktig fråga |  Ganska oviktig fråga |  Helt oviktig fråga;5
4958;viktiga politiska frågor eu/emu;2000;1; Mycket viktig fråga |  Ganska viktig fråga |  Varken viktig eller oviktig fråga |  Ganska oviktig fråga |  Helt oviktig fråga;5
4959;viktiga politiska frågor flyktingar/invandring;2000;1; Mycket viktig fråga |  Ganska viktig fråga |  Varken viktig eller oviktig fråga |  Ganska oviktig fråga |  Helt oviktig fråga;5
4960;viktiga politiska frågor it;2000;1; Mycket viktig fråga |  Ganska viktig fråga |  Varken viktig eller oviktig fråga |  Ganska oviktig fråga |  Helt oviktig fråga;5
3985;viktiga politiska frågor kärnkraften;1999, 2000;2; Mycket viktig fråga |  Ganska viktig fråga |  Varken viktig eller oviktig fråga |  Ganska oviktig fråga |  Helt oviktig fråga;5
3986;viktiga politiska frågor lag och ordning;1999, 2000;2; Mycket viktig fråga |  Ganska viktig fråga |  Varken viktig eller oviktig fråga |  Ganska oviktig fråga |  Helt oviktig fråga;5
4961;viktiga politiska frågor massmedia;2000;1; Mycket viktig fråga |  Ganska viktig fråga |  Varken viktig eller oviktig fråga |  Ganska oviktig fråga |  Helt oviktig fråga;5
3987;viktiga politiska frågor miljön;1999, 2000;2; Mycket viktig fråga |  Ganska viktig fråga |  Varken viktig eller oviktig fråga |  Ganska oviktig fråga |  Helt oviktig fråga;5
3988;viktiga politiska frågor regeringsfrågan;1999, 2000;2; Mycket viktig fråga |  Ganska viktig fråga |  Varken viktig eller oviktig fråga |  Ganska oviktig fråga |  Helt oviktig fråga;5
3989;viktiga politiska frågor sjukvården;1999, 2000;2; Mycket viktig fråga |  Ganska viktig fråga |  Varken viktig eller oviktig fråga |  Ganska oviktig fråga |  Helt oviktig fråga;5
3990;viktiga politiska frågor skatterna;1999, 2000;2; Mycket viktig fråga |  Ganska viktig fråga |  Varken viktig eller oviktig fråga |  Ganska oviktig fråga |  Helt oviktig fråga;5
