question_id;question_text;parent_question;item;years;num_years;response_alternatives;num_responses;should_group_with;notes
4695;datorer och annan ny teknik går arbetet mer stimulerande;;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4697;den som har internet behöver ingen dagstidningsprenumeration;;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3102;den svarta arbetsmarknaden är liten i sverige;;;1998, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4698;den tekniska utvecklingen innebär att det skapas många nya jobb i sverige;;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4699;det finns för få kvinnor i ledningen för svenska storföretag;;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3854;en svaghet med internet är att det innehåller för få lokala annonser;;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4792;globaliseringen av ekonomin leder till hög arbetslöshet i sverige;;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4801;inom 10 år kommer tidningar att förmedlas över internet och dagstidningar på papper att försvinna;;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4802;internet är något man måste ha i hemmet för att hänga med i utvecklingen;;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3876;journalister vinklar ofta nyheter efter egna åsikter;;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3877;journalister är i allmänhet bra på att förklara svåra politiska frågor;;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4862;man för ut mer av nyheter och information genom internet än genom vanliga tidningar mm;;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3911;medier är i allmänhet skickliga på att bedöma vad publiken är intresserad av;;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3912;medierna rapporterar ofta viktiga nyheter för sent;;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3931;många journalister är medvetet ute efter att skapa misstro mot politiker;;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3932;nyheterna i de stora medierna handlar mest om vad som händer i stockholm;;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3933;nyheterna i svenska medier är i allmänhet mycket tillförlitliga;;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3934;nyheterna idag är mindre sakliga än förr;;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4877;partierna är mer intresserade av människors röster än av deras åsikter;;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3111;satsningar på utbildning leder till fler jobb i sverige;;;1998, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3962;svenska medier för man ofta en bra bakgrund till det som har hänt;;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4940;uppfattning: el producerad med hjälp av vindkraft blir dyr;uppfattning;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4941;uppfattning: vindkraft innebär mycket små risker för människors liv och hälsa;uppfattning;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4942;uppfattning: vindkraft är miljövänlig;uppfattning;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4943;uppfattning: vindkraftverk förfular landskapet;uppfattning;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4944;uppfattning: vindkraftverk är bullriga;uppfattning;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4734;föredrar - förströelse- och underhållning;föredrar;;2000;1;Inte alls intresserad av att titta på (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Mycket intresserad av att titta på (10);11;;
4735;föredrar - informations och faktaprogram;föredrar;;2000;1;Inte alls intresserad av att titta på (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Mycket intresserad av att titta på (10);11;;
4968;vilken effekt har våldsinslag på tv och film på barn;;;2000;1;Leder inte alls till ökad agångeressivitet (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Leder till kraftigt ökad agångeressivitet (10);11;;
4700;ditt nuvarande hälsotillstånd;;;2000;1;Mitt sämsta tänkbara tillstånd (0) | (1) |  (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Mitt bästa tänkbara tillstånd (10);11;;
4975;våldsinslag i biofilm;våldsinslag;;2000;1;Våldsinslag förekommer i mkt liten omfattning | (1) | (2) | (3) | (4) | (5) | (6) | (7) |  (8) | (9) | Våldsinslag förekommer i mkt stor omfattning (10);11;;
4976;våldsinslag i data-/tv-spel;våldsinslag;;2000;1;Våldsinslag förekommer i mkt liten omfattning | (1) | (2) | (3) | (4) | (5) | (6) | (7) |  (8) | (9) | Våldsinslag förekommer i mkt stor omfattning (10);11;;
4977;våldsinslag i dramaserier på tv;våldsinslag;;2000;1;Våldsinslag förekommer i mkt liten omfattning | (1) | (2) | (3) | (4) | (5) | (6) | (7) |  (8) | (9) | Våldsinslag förekommer i mkt stor omfattning (10);11;;
4978;våldsinslag i internet;våldsinslag;;2000;1;Våldsinslag förekommer i mkt liten omfattning | (1) | (2) | (3) | (4) | (5) | (6) | (7) |  (8) | (9) | Våldsinslag förekommer i mkt stor omfattning (10);11;;
4979;våldsinslag i långfilm på tv;våldsinslag;;2000;1;Våldsinslag förekommer i mkt liten omfattning | (1) | (2) | (3) | (4) | (5) | (6) | (7) |  (8) | (9) | Våldsinslag förekommer i mkt stor omfattning (10);11;;
4980;våldsinslag i tecknad film på tv;våldsinslag;;2000;1;Våldsinslag förekommer i mkt liten omfattning | (1) | (2) | (3) | (4) | (5) | (6) | (7) |  (8) | (9) | Våldsinslag förekommer i mkt stor omfattning (10);11;;
4981;våldsinslag i tv-såpor;våldsinslag;;2000;1;Våldsinslag förekommer i mkt liten omfattning | (1) | (2) | (3) | (4) | (5) | (6) | (7) |  (8) | (9) | Våldsinslag förekommer i mkt stor omfattning (10);11;;
4982;våldsinslag i videofilm;våldsinslag;;2000;1;Våldsinslag förekommer i mkt liten omfattning | (1) | (2) | (3) | (4) | (5) | (6) | (7) |  (8) | (9) | Våldsinslag förekommer i mkt stor omfattning (10);11;;
4983;våldsinslag våldsinslag i nyhetsprogram i tv;våldsinslag;;2000;1;Våldsinslag förekommer i mkt liten omfattning | (1) | (2) | (3) | (4) | (5) | (6) | (7) |  (8) | (9) | Våldsinslag förekommer i mkt stor omfattning (10);11;;
5803;bedömning av följder rasism och främlingsfientlighet kommer att öka;bedömning;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
5804;bedömning av följder sverige blir ett bättre land att leva i;bedömning;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4047;bedömning invandrares dåliga kunskaper i svenska är det avgörande hindret för integrationen;bedömning;;1999, 2000, 2001, 2002;4;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4990;bedömning invandrares integration förhindras av att svenskar och invandrare bor åtskilda;bedömning;;2001, 2002;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3128;den höga arbetslöshetsersättningen går att många undviker att söka jobb;;;1998, 2000, 2002;3;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4048;den svenska industrin är internationellt konkurrenskraftig;;;1999, 2000, 2001, 2002;4;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
5838;det finns få platser i samhället där äldre och yngre människor kan mötas;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
5839;det är lätt att hitta ett arbete för den som vill;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4615;invandringen till sverige måste öka för att industrin skall få den arbetskraft som behövs;;;2000, 2001, 2002;3;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3134;kvinnor är ofta diskriminerade på den svenska arbetsmarknaden;;;1998, 2000, 2002;3;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6117;motsättningarna mellan äldre och yngre människor i sverige håller på att öka;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6122;möjligheten att ta del av nyheter på internet innebär att jag köper färre lösnummer av dagstidningar;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6144;påstående om internet den som har internet behöver inte ha någon dagstidningsprenumeration;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6145;påstående om internet inom en tioårsperiod kommer tidningar att förmedlas över internet och dagstidningar på papper att försvinna;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6146;påstående om internet internet ger både bättre och snabbare information än andra medier;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6147;påstående om internet internet kan aldrig ersätta känslan av att bläddra i en papperstidning eller en bok;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6148;påstående om internet internet är någonting man måste ha i sitt hem för att hänga med i utvecklingen;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
5013;påstående om internet jag använder i stor utsträckning internetnyheter istället för nyheter i tidningar, radio och tv;påstående om internet: jag använder i stor utsträckning internetnyheter istället för nyheter i;;2001, 2002;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4616;regeringens politik har starkt bidragit till att arbetslösheten minskat under senare år;;;2000, 2002;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3135;svenska arbetsgivare är ovilliga att anställa invandrare;;;1998, 2002;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6158;svenska företagsledare är väl värda sina löner;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
5015;sverige har ett bra företagsklimat;;;2001, 2002;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4617;tempot i dagens arbetsliv är ett hot mot människors liv och hälsa;;;2000, 2002;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6200;tillgången på jobb är sämre i den del av landet där jag bor än i sverige i övrigt;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6269;verkstadsarbete är inget framtidsyrke;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6319;äldre människor bemöts med respekt i sverige;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
5018;äldre människor är underrepresenterade i svensk politik;;;2001, 2002;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
5019;äldre människors erfarenheter tas inte tillvara i sverige;;;2001, 2002;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6320;äldre männsikor är intresserade av att engagera sig i politik och samhälle;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6321;äldre och yngre människor i sverige har mycket olika värderingar;;;2002;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
6063;kunnig inom djur och natur;kunnig inom;;2002;1;0 (Helt okunnig) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Mycket kunnig);11;;
6064;kunnig inom historia;kunnig inom;;2002;1;0 (Helt okunnig) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Mycket kunnig);11;;
6065;kunnig inom hälsa/medicin;kunnig inom;;2002;1;0 (Helt okunnig) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Mycket kunnig);11;;
6066;kunnig inom it/data;kunnig inom;;2002;1;0 (Helt okunnig) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Mycket kunnig);11;;
6067;kunnig inom matematik;kunnig inom;;2002;1;0 (Helt okunnig) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Mycket kunnig);11;;
6068;kunnig inom samhällskunskap;kunnig inom;;2002;1;0 (Helt okunnig) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Mycket kunnig);11;;
6069;kunnig inom svenska språket;kunnig inom;;2002;1;0 (Helt okunnig) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Mycket kunnig);11;;
5840;effektivast när det gäller att påverka människor i miljövänlig riktning informationskampanjer;effektivast när det gäller att påverka människor i miljövänlig riktning;;2002;1;0 (Ingen effekt alls) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Mycket stor effekt);11;;
5841;effektivast när det gäller att påverka människor i miljövänlig riktning lagstiftning;effektivast när det gäller att påverka människor i miljövänlig riktning;;2002;1;0 (Ingen effekt alls) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Mycket stor effekt);11;;
5842;effektivast när det gäller att påverka människor i miljövänlig riktning rabatter/subventioner;effektivast när det gäller att påverka människor i miljövänlig riktning;;2002;1;0 (Ingen effekt alls) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Mycket stor effekt);11;;
5843;effektivast när det gäller att påverka människor i miljövänlig riktning skatter;effektivast när det gäller att påverka människor i miljövänlig riktning;;2002;1;0 (Ingen effekt alls) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Mycket stor effekt);11;;
6041;har själv kvinnliga egenskaper;har själv;;2002;1;0 (Jag har få sådana egenskaper) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Jag har många sådana egenskaper);11;;
6042;har själv manliga egenskaper;har själv;;2002;1;0 (Jag har få sådana egenskaper) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Jag har många sådana egenskaper);11;;
6261;var skulle du placera dig på en skala mellan mycket ung och mycket gammal;;;2002;1;0 (Mycket ung) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Mycket gammal);11;;
6322;är tillgången på jobb bättre eller sämre i ditt yrke/din bransch än i de flesta andra yrken/branscher i sverige;;;2002;1;0 (Tillgången på jobb är mycket sämre) | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 (Tillgången på jobb är mycket bättre);11;;
3268;den tekniska utvecklingen innebär attdet skapas många nya jobb i sverige;;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3352;globaliseringen av ekonomin ledertill hög arbetslöshet i sverige;;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3404;hur viktiga anser du att miljöfrågorna är, jämfört med andra samhällsfrågor;;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3632;uppfattning om svensk industri den svenska industrin är internationellt konkurrenskraftig;uppfattning om svensk industri;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3633;uppfattning om svensk industri industriarbete är i allmänhet smutsigtoch monotont;uppfattning om svensk industri;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3634;uppfattning om svensk industri industrin tar sitt ansvar för miljön;uppfattning om svensk industri;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3635;uppfattning om svensk industri industrin är mer intresserad av vinster än av de anställdas arbetssituation;uppfattning om svensk industri;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3636;uppfattning om svensk industri risken för arbetsskador är storinom industrin;uppfattning om svensk industri;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3637;uppfattning om svensk industri utbildningsnivån är låg inom svensk industri;uppfattning om svensk industri;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3687;vilken siffra på den här skalan beskriver bäst hur du ser på arbete (inkl hushållsarbete och skolarbete) i förhållande till fritid och avkoppling;;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3701;vilken utsträckning är du beredd att betala högre skatt om pengarna används till bibliotek i din kommun;;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3711;är du beredd att arbeta aktivt i en miljöorganisation;är du beredd att;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3712;är du beredd att avstå från miljöfarliga varor;är du beredd att;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3714;är du beredd att betala högre skatt om pengarna används till miljöändamål;är du beredd att;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3716;är du beredd att kompostera;är du beredd att;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3717;är du beredd att lämna in miljöfarligt avfall;är du beredd att;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3718;är du beredd att minska bilåkandet;är du beredd att;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3720;är du beredd att sortera sopor;är du beredd att;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3721;är du beredd att spara energi i hemmet;är du beredd att;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3725;är du beredd att uppmuntra vänner och bekanta att bete sig mer miljövänligt;är du beredd att;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3726;är du beredd att välja ekologiskt producerade livsmedel;är du beredd att;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
3727;är du beredd att välja miljömärkta varor;är du beredd att;;1998;1;0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10;11;;
6951;hur många mobiltelefoner har du haft under de senaste tre åren;;;2004, 2005;2;0 | 1 | 2 | 3 | 4 | 5 eller fler;6;;
